TicketNo,First Name,Last Name,HomePlanet,Cabin,Destination,BodyState,Age,VIP,RoomService,FoodCourt,Mall,Spa,VR Deck,Transported
1930-1,Karie,Acobsond,Earth,Gamma-0384-L,Kepler 442b,Normal,26,NO,5930.1,0,9.9,0,0,*System Error*
1931-1,Kumark,Dressink,Trapist 1e,Epsilon-0074-R,Kepler 442b,Cryostasis,58,NO,0,0,0,0,0,TRUE
1932-1,Antone,Puckley,Earth,Gamma-0368-R,Kepler 186f,Normal,29,NO,0,0,0,1435.5,19413.9,*System Error*
1933-1,Timyra,Hammons,Earth,Zeta-0119-L,Kepler 186f,Normal,47,NO,99,0,0,0,0,TRUE
1934-1,Shelle,Stenson,Earth,Gamma-0385-L,Kepler 186f,Normal,25,NO,19.8,0,6821.1,8187.3,0,*System Error*
1935-1,Sharie,Gallenry,Earth,Kappa-0308-R,Kepler 442b,Cryostasis,19,NO,0,0,0,0,0,FALSE
1936-1,Hamsp,Icake,55-Cancri e,Zeta-0120-L,Kepler 186f,Normal,47,NO,12721.5,39.6,69.3,9.9,0,*System Error*
1937-1,Therly,Knoxtones,Earth,Gamma-0369-R,Kepler 186f,Normal,49,NO,69.3,8682.3,168.3,0,0,FALSE
1938-1,Gretty,Charpelaney,Earth,Gamma-0370-R,Kepler 186f,Normal,37,NO,0,0,14929.2,1089,1158.3,TRUE
1939-1,Wacks,Burta,55-Cancri e,Gamma-0386-L,Kepler 186f,Normal,58,VIP,9652.5,0,2920.5,386.1,0,FALSE
1939-2,Sex,Burta,55-Cancri e,Alfa-0063-L,Kepler 186f,Normal,15,NO,30066.3,99,425.7,0,0,FALSE
1940-1,Wins,Bate,55-Cancri e,Gamma-0387-L,Kepler 186f,Normal,29,NO,1188,0,14612.4,29.7,0,FALSE
1941-1,Man,Hendrewsons,Earth,Gamma-0371-R,Kepler 186f,Normal,21,NO,7098.3,0,0,0,0,FALSE
1942-1,Gerly,Gaineyerson,Earth,Kappa-0313-L,Kepler 186f,Normal,48,NO,0,4395.6,3247.2,554.4,0,FALSE
1943-1,Paulie,Boyersons,Earth,Gamma-0372-R,Kepler 442b,Normal,52,NO,207.9,9.9,0,1831.5,5247,*System Error*
1944-1,Candy,Whiters,Earth,Kappa-0309-R,Kepler 186f,Normal,26,NO,0,0,6593.4,2187.9,9.9,*System Error*
1945-1,Ambert,Guezaley,Earth,Zeta-0121-L,Kepler 186f,Normal,17,NO,0,0,7791.3,0,0,FALSE
1946-1,Rayley,Castannison,Earth,Kappa-0314-L,Kepler 186f,Normal,35,NO,0,0,524.7,7236.9,0,FALSE
1947-1,Lorian,Vandan,Earth,Gamma-0373-R,Kepler 186f,Normal,22,NO,9325.8,0,0,0,69.3,FALSE
1948-1,Meron,Waring,Trapist 1e,Delta-0081-R,Kepler 186f,Normal,56,NO,0,2227.5,1277.1,0,121037.4,*System Error*
1948-2,Alhail,Waring,Trapist 1e,Delta-0081-R,Kepler 442b,Cryostasis,20,NO,0,0,0,0,0,*System Error*
1949-1,Sterry,Smalls,Earth,Gamma-0374-R,Kepler 186f,Normal,21,NO,0,0,3138.3,6256.8,0,*System Error*
1950-1,Tonyn,Welles,Earth,Gamma-0375-R,Kepler 186f,Normal,52,NO,0,0,0,999.9,13434.3,FALSE
1951-1,Dhenah,Extraly,Trapist 1e,Alfa-0068-R,Kepler 442b,Cryostasis,30,NO,0,0,0,0,0,*System Error*
1951-2,Weiaham,Extraly,Trapist 1e,Alfa-0068-R,Kepler 442b,Normal,30,NO,9.9,16394.4,1386,41184,4257,*System Error*
1952-1,,,Earth,Zeta-0122-L,Kepler 186f,Normal,24,NO,3781.8,0,3940.2,79.2,0,FALSE
1953-1,Verney,Bradlerson,Earth,Gamma-0388-L,Kepler 186f,Normal,60,NO,0,0,0,0,7098.3,FALSE
1954-1,Sher,Porki,55-Cancri e,Gamma-0389-L,Kepler 442b,Normal,41,NO,267.3,0,801.9,9642.6,0,*System Error*
1955-1,Kennie,Perkinson,Earth,Gamma-0390-L,Kepler 186f,Normal,21,NO,89.1,514.8,9.9,6316.2,1039.5,*System Error*
1956-1,,,55-Cancri e,Alfa-0069-R,Kepler 186f,Normal,38,NO,27373.5,0,11226.6,0,0,FALSE
1956-2,Mesh,Pread,55-Cancri e,Alfa-0069-R,Kepler 452b,Normal,46,,7009.2,0,49.5,0,732.6,TRUE
1957-1,Patoya,Maynardner,Earth,Kappa-0310-R,Kepler 186f,Cryostasis,27,NO,0,0,0,0,0,FALSE
1958-1,Naomie,Brensonsen,Earth,Kappa-0315-L,Kepler 186f,Normal,32,NO,16077.6,0,0,5940,1039.5,*System Error*
1959-1,Weion,Exibuctich,Trapist 1e,Epsilon-0067-L,Kepler 186f,Cryostasis,16,NO,0,0,0,0,0,TRUE
1959-2,,,Trapist 1e,Epsilon-0067-L,Kepler 186f,Normal,41,NO,0,3781.8,0,9.9,37837.8,FALSE
1959-3,Menchah,Exibuctich,Trapist 1e,Epsilon-0067-L,Kepler 442b,Normal,31,NO,0,4286.7,48500.1,3890.7,2574,TRUE
1960-1,Deanny,Lynnerett,Earth,Zeta-0123-L,Kepler 186f,Cryostasis,38,NO,0,0,0,0,0,TRUE
1960-2,Joana,Lynnerett,Earth,Zeta-0123-L,Kepler 452b,Normal,23,NO,0,0,6702.3,39.6,0,TRUE
1961-1,Kayne,Giller,Earth,Kappa-0316-L,Kepler 186f,Normal,36,NO,2989.8,59.4,0,59.4,6068.7,TRUE
1962-1,Verek,Buckeenez,Earth,Gamma-0391-L,Kepler 186f,Normal,26,NO,29.7,3573.9,930.6,8157.6,1584,FALSE
1962-2,Jasony,Buckeenez,Earth,Kappa-0317-L,Kepler 442b,Normal,4,NO,0,0,0,0,0,FALSE
1962-3,Dixiel,Ryanga,Earth,Kappa-0317-L,Kepler 186f,Cryostasis,,NO,0,0,0,0,0,TRUE
1963-1,Aaron,Fowlaney,Earth,Gamma-0392-L,Kepler 186f,Normal,45,NO,0,0,0,11880,168.3,FALSE
1964-1,Altara,Righturter,Trapist 1e,Epsilon-0075-R,Kepler 186f,Normal,64,NO,0,8603.1,9.9,3712.5,33432.3,FALSE
1965-1,Racyle,Ramoran,Earth,Kappa-0318-L,Kepler 186f,Cryostasis,37,NO,0,0,0,0,0,*System Error*
1966-1,Alphain,Folhal,Trapist 1e,Delta-0082-R,Kepler 442b,Normal,37,NO,0,14127.3,0,12978.9,831.6,*System Error*
1967-1,Megany,Humphreyes,Earth,Kappa-0319-L,Kepler 186f,Cryostasis,32,,0,0,0,0,0,TRUE
1968-1,Delody,Traverdy,Earth,Kappa-0320-L,Kepler 452b,Cryostasis,40,NO,0,0,0,0,0,TRUE
1969-1,Unukath,Sandul,Trapist 1e,Epsilon-0076-R,Kepler 442b,Normal,29,NO,0,208553.4,0,24235.2,22700.7,TRUE
1970-1,Eulahy,Parsoney,Earth,Gamma-0393-L,Kepler 186f,Normal,35,NO,18255.6,2108.7,1296.9,4346.1,0,*System Error*
1971-1,Megany,Irwinson,Earth,Gamma-0376-R,Kepler 452b,Normal,56,NO,29.7,0,554.4,6266.7,0,FALSE
1972-1,Wer,Hac,55-Cancri e,Zeta-0124-L,Kepler 186f,Normal,32,NO,1415.7,0,8969.4,0,0,*System Error*
1973-1,Gomeron,Clindy,Trapist 1e,Beta-0025-R,Kepler 442b,Cryostasis,40,NO,0,0,0,0,0,TRUE
1974-1,Sugark,Cusa,55-Cancri e,Alfa-0064-L,Kepler 186f,Normal,42,NO,36649.8,0,9.9,0,178.2,FALSE
1975-1,Jeandy,Hobbinson,Earth,Kappa-0311-R,Kepler 186f,Normal,23,NO,0,0,0,99,7533.9,FALSE
1976-1,Sadirab,Craleve,Trapist 1e,Delta-0083-R,Kepler 442b,Normal,25,NO,0,79566.3,0,9.9,19.8,TRUE
1976-2,Aiden,Lansuffle,Trapist 1e,Delta-0083-R,Kepler 186f,Normal,35,NO,148.5,35422.2,0,0,4682.7,TRUE
1976-3,Cellah,Lansuffle,Trapist 1e,Delta-0083-R,Kepler 442b,Cryostasis,28,VIP,0,0,0,0,0,TRUE
1976-4,Zinoth,Lansuffle,Trapist 1e,Delta-0083-R,Kepler 186f,Normal,41,NO,9.9,29422.8,0,31432.5,9.9,FALSE
1976-5,Plas,Lansuffle,Trapist 1e,Delta-0083-R,Kepler 442b,Cryostasis,16,NO,0,0,0,0,0,TRUE
1976-6,Wasaleh,Lansuffle,Trapist 1e,Delta-0083-R,Kepler 186f,Cryostasis,66,NO,0,0,0,0,0,TRUE
1976-7,Aleyna,Craleve,Trapist 1e,Delta-0083-R,Kepler 186f,Cryostasis,27,NO,0,0,0,0,0,TRUE
1977-1,Froder,Paska,55-Cancri e,Gamma-0394-L,Kepler 186f,Cryostasis,37,NO,0,0,0,0,0,TRUE
1978-1,,,,Kappa-0312-R,Kepler 186f,Cryostasis,21,NO,0,0,0,0,0,TRUE
1979-1,Delley,Moodson,Earth,Gamma-0377-R,Kepler 186f,Normal,27,NO,3969.9,0,6860.7,613.8,0,FALSE
1980-1,Scotte,Browlerson,Earth,Kappa-0313-R,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,TRUE
1980-2,Man,Freevenson,Earth,Kappa-0313-R,Kepler 186f,Normal,30,NO,14196.6,49.5,0,0,0,FALSE
1980-3,Penne,Browlerson,Earth,Kappa-0313-R,Kepler 186f,Cryostasis,45,NO,0,0,0,0,0,TRUE
1981-1,Julion,Cobson,Earth,Zeta-0125-L,Kepler 186f,Normal,28,NO,1940.4,5959.8,0,0,1960.2,FALSE
1982-1,Glendy,Jacostaney,Earth,Zeta-0146-R,Kepler 186f,Normal,26,NO,1009.8,0,2544.3,12474,0,*System Error*
1983-1,Felia,Cooperkins,Earth,Kappa-0321-L,Kepler 452b,Normal,19,NO,4098.6,0,1376.1,277.2,1712.7,FALSE
1984-1,Mesath,Wassid,Trapist 1e,,Kepler 442b,Normal,38,NO,0,31343.4,0,900.9,59.4,TRUE
1985-1,Apuffs,Facle,55-Cancri e,Gamma-0395-L,Kepler 442b,Cryostasis,21,NO,0,0,0,0,0,TRUE
1986-1,Toate,Monie,55-Cancri e,Gamma-0378-R,Kepler 186f,Cryostasis,47,NO,0,0,0,0,0,*System Error*
1987-1,Searla,Bardinard,Earth,Kappa-0314-R,Kepler 186f,Normal,25,NO,0,8919.9,69.3,0,0,*System Error*
1988-1,Eleaha,Wallerson,Earth,Kappa-0322-L,Kepler 186f,Cryostasis,46,NO,0,0,0,0,0,FALSE
1989-1,Paulas,Mullon,Earth,Kappa-0323-L,Kepler 442b,Cryostasis,53,NO,0,0,0,0,0,*System Error*
1990-1,Cers,Blake,55-Cancri e,Gamma-0396-L,Kepler 186f,Cryostasis,33,NO,0,0,0,0,0,*System Error*
1990-2,Unchal,Blake,55-Cancri e,Gamma-0396-L,Kepler 442b,Cryostasis,56,NO,0,0,0,0,0,*System Error*
1991-1,Leenny,Palmes,Earth,Gamma-0379-R,Kepler 442b,Normal,24,,0,0,297,4940.1,1366.2,FALSE
1991-2,Aude,Palmes,Earth,Zeta-0147-R,Kepler 186f,Normal,24,NO,2108.7,841.5,3484.8,118.8,9.9,TRUE
1992-1,Lucan,Kill??,55-Cancri e,Gamma-0380-R,Kepler 186f,Cryostasis,23,NO,0,0,0,0,0,TRUE
1993-1,Lorey,Fishopper,Earth,Gamma-0381-R,Kepler 186f,Normal,33,NO,10513.8,0,7939.8,702.9,0,FALSE
1994-1,Cary,Pagedy,Earth,Zeta-0126-L,Kepler 186f,Normal,19,NO,0,0,2465.1,5316.3,49.5,TRUE
1995-1,Gerry,Sterreray,Earth,Kappa-0315-R,Kepler 452b,Normal,32,NO,2286.9,0,0,2712.6,257.4,FALSE
1996-1,Sallie,Fryan,Earth,Gamma-0382-R,Kepler 186f,Normal,17,NO,118.8,247.5,1950.3,6246.9,0,FALSE
1997-1,Joyn,Hartley,Earth,Kappa-0316-R,Kepler 186f,,43,NO,366.3,16533,0,0,0,TRUE
1998-1,Gerte,Hendrewsons,Earth,Gamma-0383-R,Kepler 452b,Normal,25,NO,841.5,2227.5,108.9,524.7,8266.5,*System Error*
1999-1,Shelle,Kimons,Earth,Gamma-0384-R,Kepler 186f,Normal,56,NO,3692.7,9.9,9.9,4910.4,0,FALSE
2000-1,Weia,Plattering,Trapist 1e,Epsilon-0077-R,Kepler 442b,Normal,29,NO,49.5,26492.4,128.7,0,1554.3,TRUE
2001-1,All,Pittler,Earth,Gamma-0397-L,Kepler 186f,Normal,34,NO,6662.7,1920.6,5425.2,584.1,396,FALSE
2002-1,Craird,Creke,55-Cancri e,Gamma-0385-R,Kepler 186f,Cryostasis,59,NO,0,0,0,0,0,*System Error*
2003-1,Viviay,Oconley,Earth,Kappa-0324-L,Kepler 186f,Normal,20,,29.7,59.4,198,594,7118.1,FALSE
2004-1,Yapich,Pashe,55-Cancri e,Zeta-0148-R,Kepler 186f,Cryostasis,25,NO,0,0,0,0,0,*System Error*
2005-1,Janita,Ericksonga,Earth,Gamma-0386-R,Kepler 186f,Normal,46,NO,396,1158.3,0,2118.6,3831.3,*System Error*
2005-2,Sanya,Ericksonga,Earth,Kappa-0317-R,Kepler 186f,Normal,,NO,0,0,0,0,0,*System Error*
2006-1,Eriky,Moorez,Earth,Gamma-0387-R,Kepler 186f,Normal,25,NO,0,8474.4,0,0,49.5,FALSE
2006-2,Crisey,Moorez,Earth,Kappa-0318-R,Kepler 186f,Normal,6,NO,0,0,0,0,0,FALSE
2006-3,Joana,Moorez,Earth,Kappa-0318-R,Kepler 186f,Cryostasis,3,NO,0,0,0,0,0,FALSE
2007-1,Aviton,Gocent,Trapist 1e,Beta-0026-R,Kepler 442b,Normal,31,NO,0,56766.6,0,49.5,9.9,TRUE
2008-1,Jasony,Petton,Earth,Gamma-0398-L,,Normal,16,NO,2593.8,0,0,3870.9,1494.9,*System Error*
2009-1,Aldibah,Contery,Trapist 1e,Delta-0060-L,Kepler 186f,Normal,32,NO,0,0,0,0,0,FALSE
2009-2,Cheliak,Contery,Trapist 1e,Delta-0060-L,Kepler 186f,Cryostasis,18,NO,0,0,0,0,0,TRUE
2009-3,Gluebah,Contery,Trapist 1e,Delta-0060-L,Kepler 442b,Cryostasis,42,NO,0,0,0,0,0,TRUE
2010-1,Candyn,Gregordy,Earth,Kappa-0325-L,Kepler 452b,Cryostasis,34,NO,0,0,0,0,0,TRUE
2011-1,Tonyn,Bartines,Earth,Kappa-0319-R,Kepler 452b,Cryostasis,47,NO,0,0,0,0,0,FALSE
2012-1,Mirakis,Amincrerus,Trapist 1e,Delta-0061-L,Kepler 442b,Normal,31,VIP,12375,8563.5,0,36877.5,53618.4,FALSE
2013-1,Emmax,Water,Earth,Gamma-0399-L,Kepler 186f,Normal,19,NO,0,0,0,0,7959.6,FALSE
2014-1,Hadalm,Switmorary,Trapist 1e,Zeta-0149-R,Kepler 186f,Cryostasis,51,NO,0,0,0,0,0,*System Error*
2015-1,Fayene,Hickett,Earth,Gamma-0388-R,Kepler 186f,Normal,21,NO,11276.1,178.2,0,0,6642.9,TRUE
2016-1,Graisp,Barte,55-Cancri e,Gamma-0389-R,,Cryostasis,26,NO,0,0,0,0,0,*System Error*
2016-2,Cups,Barte,55-Cancri e,Gamma-0389-R,Kepler 186f,Normal,48,NO,8692.2,8157.6,9.9,3851.1,0,*System Error*
2017-1,Panbug,Creke,55-Cancri e,Zeta-0150-R,Kepler 186f,Normal,27,NO,0,0,0,0,0,*System Error*
2017-2,Spil,Creke,55-Cancri e,Gamma-0390-R,Kepler 186f,Normal,2,NO,6573.6,1247.4,396,108.9,10573.2,*System Error*
2018-1,Thony,Franey,Earth,Kappa-0320-R,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,*System Error*
2019-1,Dirfak,Oppressive,Trapist 1e,Delta-0084-R,Kepler 442b,Normal,23,NO,0,51311.7,0,10692,19.8,TRUE
2019-2,Okulus,Oppressive,Trapist 1e,Delta-0084-R,Kepler 442b,,22,NO,0,1603.8,0,1465.2,75428.1,FALSE
2020-1,Minchib,Swinvul,Trapist 1e,Epsilon-0078-R,Kepler 186f,Normal,31,NO,0,20314.8,39.6,4603.5,1158.3,*System Error*
2021-1,Andace,Flynnis,Earth,Kappa-0321-R,Kepler 186f,Cryostasis,24,NO,0,0,0,0,0,*System Error*
2022-1,Gracia,Houseson,Earth,Gamma-0391-R,Kepler 452b,Normal,37,NO,0,8009.1,0,851.4,0,FALSE
2023-1,Bethy,Stantiagord,Earth,Kappa-0322-R,Kepler 186f,Normal,24,NO,0,0,6276.6,0,861.3,*System Error*
2023-2,Elenna,Stantiagord,Earth,Kappa-0322-R,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,*System Error*
2023-3,Monah,Stantiagord,Earth,Kappa-0322-R,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,*System Error*
2024-1,Ellard,Kinson,,Kappa-0323-R,Kepler 186f,Normal,,NO,0,0,0,0,0,TRUE
2024-2,Ianne,Kinson,Earth,Zeta-0151-R,Kepler 442b,Normal,18,NO,435.6,15196.5,99,504.9,0,TRUE
2025-1,Alteron,Stiviorad,Trapist 1e,Delta-0085-R,Kepler 442b,Normal,43,VIP,0,3019.5,0,3237.3,69755.4,*System Error*
2026-1,Marlly,Warrishales,Earth,Kappa-0324-R,Kepler 186f,Cryostasis,1,NO,0,0,0,0,0,TRUE
2026-2,Franda,Warrishales,Earth,Kappa-0324-R,Kepler 452b,Cryostasis,17,NO,0,0,0,0,0,TRUE
2026-3,Heald,Alldson,Earth,Kappa-0324-R,Kepler 186f,Normal,22,NO,0,39.6,4247.1,0,2841.3,FALSE
2027-1,Iree,Oconley,Earth,Gamma-0400-L,Kepler 442b,Normal,20,NO,297,9.9,10404.9,0,59.4,TRUE
2028-1,Louisa,Pooles,Earth,Gamma-0392-R,Kepler 452b,Normal,25,NO,6553.8,0,0,0,89.1,FALSE
2029-1,Lyne,Camerrison,Earth,Gamma-0401-L,Kepler 442b,Normal,44,NO,0,59.4,7227,9.9,0,FALSE
2030-1,Lulard,Trerady,Earth,Gamma-0402-L,Kepler 186f,Normal,23,NO,2831.4,12048.3,0,0,99,*System Error*
2031-1,Ermank,Huntt,Earth,Kappa-0326-L,Kepler 186f,Normal,22,NO,2059.2,772.2,0,0,4197.6,*System Error*
2032-1,Powl,Shcad,55-Cancri e,Gamma-0403-L,Kepler 186f,Cryostasis,28,NO,0,0,0,0,0,TRUE
2033-1,Briam,Mcneiley,Earth,Gamma-0393-R,Kepler 442b,Normal,30,NO,6306.3,108.9,9.9,0,514.8,*System Error*
2034-1,Anton,Pearsalason,Earth,Gamma-0394-R,Kepler 186f,Normal,44,NO,3950.1,742.5,376.2,7632.9,0,FALSE
2035-1,,,55-Cancri e,Alfa-0065-L,Kepler 186f,Normal,36,NO,8949.6,6811.2,1108.8,9840.6,0,*System Error*
2035-2,Donch,Backe,55-Cancri e,Gamma-0404-L,Kepler 186f,Cryostasis,21,NO,0,0,0,0,0,*System Error*
2036-1,Sylvin,Jacostanley,Earth,Kappa-0327-L,Kepler 452b,Cryostasis,24,NO,0,0,0,0,0,*System Error*
2036-2,Justie,Barkeretton,Earth,Kappa-0327-L,Kepler 186f,Normal,32,NO,0,0,7167.6,0,0,*System Error*
2036-3,Celis,Jacostanley,Earth,Kappa-0327-L,Kepler 186f,Normal,,NO,0,0,0,0,0,*System Error*
2037-1,Solaron,Laturive,Trapist 1e,Delta-0062-L,Kepler 186f,Cryostasis,24,NO,0,0,0,0,0,*System Error*
2037-2,Rassias,Laturive,Trapist 1e,Delta-0062-L,Kepler 186f,Normal,16,NO,0,4068.9,0,17394.3,43668.9,*System Error*
2038-1,Racyle,Ingston,Earth,Gamma-0405-L,Kepler 186f,Normal,23,NO,59.4,1316.7,4979.7,0,19.8,FALSE
2039-1,Apple,Jaff,55-Cancri e,Gamma-0406-L,Kepler 186f,Normal,5,NO,0,0,0,0,0,*System Error*
2039-2,Callix,Jaff,55-Cancri e,Gamma-0406-L,Kepler 186f,Cryostasis,20,NO,0,0,0,0,0,*System Error*
2039-3,Beres,Balle,55-Cancri e,Gamma-0406-L,Kepler 186f,Cryostasis,30,NO,0,0,0,0,0,*System Error*
2040-1,Lesaten,Stiven,Trapist 1e,Delta-0086-R,Kepler 186f,Cryostasis,52,NO,0,0,0,0,0,TRUE
2040-2,Alramak,Stiven,Trapist 1e,Delta-0086-R,Kepler 186f,Cryostasis,26,NO,0,0,0,0,0,TRUE
2041-1,Pattin,Weavesend,Earth,Kappa-0328-L,Kepler 186f,Cryostasis,66,NO,0,0,0,0,0,TRUE
2042-1,Rosiey,Floways,Earth,Gamma-0395-R,Kepler 186f,Normal,52,NO,0,0,0,7771.5,188.1,FALSE
2043-1,Goles,Teake,55-Cancri e,Gamma-0396-R,Kepler 186f,Cryostasis,25,NO,0,0,0,0,0,TRUE
2044-1,Breney,Conleydenan,Earth,Gamma-0397-R,Kepler 186f,Normal,29,,0,0,6276.6,9.9,227.7,TRUE
2045-1,Gaylah,Whitneyes,Earth,Kappa-0325-R,Kepler 442b,Cryostasis,43,NO,0,0,0,0,0,TRUE
2046-1,Luison,Beston,Earth,Kappa-0329-L,Kepler 442b,Cryostasis,31,NO,0,0,0,0,0,FALSE
2047-1,Raulia,Jenkinnedy,Earth,Kappa-0326-R,Kepler 186f,Cryostasis,18,NO,0,0,0,0,0,*System Error*
2048-1,Enry,Morrencis,Earth,Gamma-0407-L,Kepler 442b,Normal,22,NO,0,7147.8,0,0,0,*System Error*
2049-1,Kirky,Edwartizman,Earth,Kappa-0327-R,Kepler 452b,Cryostasis,21,NO,0,0,0,0,0,*System Error*
2050-1,Harlen,Peter,Earth,Kappa-0330-L,Kepler 186f,Normal,26,NO,1287,49.5,0,2801.7,2989.8,*System Error*
2051-1,,,Earth,Zeta-0127-L,Kepler 186f,Normal,21,NO,19.8,0,6870.6,0,217.8,TRUE
2052-1,Jele,Balle,55-Cancri e,Zeta-0152-R,Kepler 186f,Normal,32,NO,1603.8,11988.9,39.6,0,9.9,TRUE
2053-1,Tabbah,Wasede,Trapist 1e,Epsilon-0069-L,Kepler 442b,Normal,28,NO,2781.9,7335.9,128.7,0,46767.6,FALSE
2054-1,Alessandro,Stivelte,Trapist 1e,Epsilon-0070-L,Kepler 442b,Normal,40,NO,0,0,0,15127.2,11078.1,FALSE
2055-1,Belly,Woodwinez,Earth,Kappa-0331-L,Kepler 186f,Normal,1,NO,0,0,0,0,0,FALSE
2055-2,Sall,Woodwinez,,Kappa-0331-L,Kepler 452b,Normal,34,NO,0,574.2,0,0,6355.8,TRUE
2055-3,,,Earth,Kappa-0331-L,Kepler 186f,Cryostasis,27,NO,0,0,0,0,0,TRUE
2055-4,Lesley,Woodwinez,Earth,Kappa-0331-L,Kepler 186f,Normal,8,NO,0,0,0,0,0,TRUE
2055-5,Harlen,Woodwinez,Earth,Kappa-0331-L,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,TRUE
2055-6,Janee,Canton,Earth,Kappa-0331-L,Kepler 186f,Cryostasis,13,NO,0,0,0,0,0,FALSE
2056-1,Marynk,Hanghanson,Earth,Kappa-0332-L,Kepler 186f,Cryostasis,54,NO,0,0,0,0,0,FALSE
2056-2,Claura,Hanghanson,Earth,Gamma-0408-L,Kepler 186f,Normal,16,NO,158.4,0,0,7048.8,1475.1,FALSE
2056-3,Elany,Hanghanson,Earth,Gamma-0408-L,Kepler 186f,Normal,69,NO,0,2831.4,0,17216.1,128.7,FALSE
2056-4,Philia,Hanghanson,Earth,Kappa-0332-L,Kepler 452b,Cryostasis,19,NO,0,0,0,0,0,TRUE
2057-1,Carold,Carley,,Kappa-0333-L,Kepler 452b,Cryostasis,8,NO,0,0,0,0,0,*System Error*
2057-2,Kenny,Lewinton,Earth,Kappa-0333-L,Kepler 452b,Normal,10,NO,0,0,0,0,0,*System Error*
2057-3,Nelley,Gordanieves,Earth,Kappa-0333-L,Kepler 186f,Normal,23,NO,3049.2,3633.3,9.9,0,1069.2,*System Error*
2057-4,Agnes,Lewinton,Earth,Kappa-0333-L,Kepler 186f,Cryostasis,47,NO,0,0,0,0,0,*System Error*
2057-5,Leahy,Lewinton,,Gamma-0409-L,Kepler 186f,Normal,22,NO,0,0,7078.5,69.3,9.9,*System Error*
2058-1,Smal,Gelte,55-Cancri e,Gamma-0398-R,Kepler 442b,Normal,29,NO,12137.4,1920.6,910.8,178.2,0,*System Error*
2059-1,Ellena,Moodmandez,Earth,Kappa-0334-L,Kepler 186f,Normal,56,NO,19.8,0,0,0,8979.3,TRUE
2060-1,Anniey,Baketton,,Kappa-0328-R,Kepler 442b,Normal,23,NO,14157,0,0,0,4187.7,FALSE
2061-1,Dscha,Sedece,Trapist 1e,Alfa-0066-L,Kepler 186f,Normal,35,NO,0,50123.7,0,554.4,3237.3,TRUE
2062-1,,,55-Cancri e,Gamma-0399-R,Kepler 186f,,19,NO,5771.7,0,7454.7,0,0,FALSE
2063-1,Mistie,Leonaldez,Earth,Kappa-0329-R,Kepler 452b,Cryostasis,39,NO,0,0,0,0,0,FALSE
2064-1,Mos,Terry,55-Cancri e,Gamma-0410-L,Kepler 186f,Cryostasis,25,NO,0,0,0,0,0,*System Error*
2065-1,Lavey,Jeffey,Earth,Gamma-0411-L,Kepler 186f,Normal,15,NO,118.8,0,0,0,19433.7,FALSE
2066-1,Bryany,Chapmaney,Earth,Kappa-0330-R,Kepler 186f,Cryostasis,20,NO,0,0,0,0,0,TRUE
2067-1,Albert,Sprender,Trapist 1e,Epsilon-0071-L,Kepler 186f,Cryostasis,31,NO,0,0,0,0,0,TRUE
2067-2,Asellan,Sprender,Trapist 1e,Epsilon-0071-L,Kepler 186f,Normal,28,VIP,0,0,712.8,6613.2,26858.7,FALSE
2068-1,Izarino,Ingent,Trapist 1e,Epsilon-0072-L,Kepler 186f,Cryostasis,30,NO,0,0,0,0,0,*System Error*
2068-2,Wimps,Ingent,Trapist 1e,Epsilon-0072-L,Kepler 442b,Normal,55,NO,0,47807.1,0,69.3,3465,*System Error*
2068-3,Gimph,Ingent,Trapist 1e,Epsilon-0072-L,Kepler 186f,Normal,43,NO,9.9,28234.8,0,663.3,584.1,*System Error*
2068-4,Diphah,Disheract,Trapist 1e,Epsilon-0072-L,Kepler 442b,Normal,34,NO,0,58905,4573.8,42144.3,702.9,*System Error*
2068-5,Geonev,Ingent,Trapist 1e,Epsilon-0072-L,Kepler 186f,Normal,29,NO,0,58716.9,0,1089,11137.5,*System Error*
2069-1,Hilley,Willangsey,Earth,Gamma-0400-R,Kepler 186f,Normal,33,NO,7593.3,0,79.2,29.7,0,*System Error*
2070-1,Sanda,Gilleyons,Earth,Zeta-0128-L,Kepler 186f,Normal,19,NO,0,9.9,5276.7,3227.4,0,TRUE
2071-1,Zaninon,Subateful,Trapist 1e,Epsilon-0079-R,Kepler 442b,Normal,46,NO,0,35234.1,0,35788.5,1613.7,FALSE
2071-2,Alduson,Subateful,Trapist 1e,Epsilon-0079-R,Kepler 442b,Normal,29,NO,1653.3,23819.4,702.9,2801.7,6435,TRUE
2072-1,Evenna,Brooke,Earth,Zeta-0153-R,Kepler 186f,Normal,22,NO,0,0,0,4445.1,851.4,*System Error*
2072-2,Thel,Brooke,Earth,Gamma-0401-R,Kepler 186f,Normal,20,NO,0,0,811.8,5841,0,*System Error*
2073-1,Landa,Rivanseney,Earth,Gamma-0402-R,Kepler 186f,Normal,25,NO,1752.3,0,69.3,0,4435.2,FALSE
2074-1,Sadir,Alaring,Trapist 1e,Alfa-0070-R,Kepler 186f,Normal,25,NO,12761.1,33095.7,0,49460.4,7217.1,FALSE
2074-2,Mergas,Alaring,Trapist 1e,Alfa-0070-R,Kepler 186f,Normal,25,NO,89.1,40401.9,0,0,158.4,TRUE
